cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200001.html'>0200001</a>,JIN C (EPCJS 01/01°) - EPC N° 01 JUAN JOSE CASTELLI - CENS - UGEE N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200001.html'>AYACUCHO 1680</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200002.html'>0200002</a>,SUPERVISIÓN DE 1 - JIC N° 04/01° CINCO ESQUINAS - EPC N° 02 DOMINGO FAUSTINO SARMIENTO - ESC. DE MUSICA N° 16 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 04 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 04,<a href='https://jpcib.github.io/sistemaBochi/pages/0200002.html'>AVDA. PTE. MANUEL QUINTANA 31</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200003.html'>0200003</a>,EPA N° 03 DR. ONESIMO LEGUIZAMON - EPC N° 03 DR. ONESIMO LEGUIZAMON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200003.html'>AVDA. SANTA FE 1510</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200004.html'>0200004</a>,CENS N° 08 - EPC N° 04 JOSE MANUEL ESTRADA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200004.html'>RECONQUISTA 461</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200005.html'>0200005</a>,JII N° 13/01° - EPC N° 05 NICOLAS RODRIGUEZ PEÑA - IFTS N° 05,<a href='https://jpcib.github.io/sistemaBochi/pages/0200005.html'>RODRIGUEZ PEÑA 747</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200006.html'>0200006</a>,CENS Nº 90 - EPC N° 06 FRENCH Y BERUTI - JII N° 02/01° - EPA N° 06 FRENCH Y BERUTI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200006.html'>BASAVILBASO 1295</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200007.html'>0200007</a>,Sup Inicial I A - JIN A (EPCJS 07/01°) - EPA N° 07 PRESIDENTE ROCA - EPC N° 07 PRESIDENTE ROCA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200007.html'>LIBERTAD 581</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200008.html'>0200008</a>,Sup Adultos Region VI - JIN A (EPCJC 08/01°) - EPC N° 08 NICOLAS AVELLANEDA - CENS N° 03 - EPA N° 08 NICOLAS AVELLANEDA - CENTRO EDUCATIVO CURSOS ESPECIALES - SUPERVISIÓN CURSOS ESPECIALES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200008.html'>TALCAHUANO 680</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200009.html'>0200009</a>,JIN A (EPCJC 09/01°) - EPC N° 09 FAMILIA DE CABEZON - CENS N° 26,<a href='https://jpcib.github.io/sistemaBochi/pages/0200009.html'>TTE. GRAL. JUAN DOMINGO PERON 1140</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200010.html'>0200010</a>,JIN B (EPCJC 10/01°) - EPC N° 10 PRESIDENTE MANUEL QUINTANA - EPA N° 10 PRESIDENTE MANUEL QUINTANA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200010.html'>LAVALLE 2366</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200011.html'>0200011</a>,JII N° 01/01° - EPC N° 12 GRAL. LAS HERAS - CEC PLASTICA 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200011.html'>JULIAN ALVAREZ 2849</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200012.html'>0200012</a>,EPC N° 13 GRAL. SAN MARTIN - CENS N° 46,<a href='https://jpcib.github.io/sistemaBochi/pages/0200012.html'>SAN MARTIN 458</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200013.html'>0200013</a>,EPC N° 14 CORNELIO SAAVEDRA - JIN B (EPCJC 14/01°) [S] - CENOF CENTRO SARMIENTO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200013.html'>SARMIENTO 2250</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200014.html'>0200014</a>,EPC N° 16 WENCESLAO POSSE - JIC N° 03/01° - CENOF CENTRO JUNCAL - ESC. PRIM. 16/01°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200014.html'>JUNCAL 3131</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200015.html'>0200015</a>,EPA N° 18 DR. RAFAEL HERRERA VEGAS - EPC N° 18 DR. RAFAEL HERRERA VEGAS - JIN C (EPCJS 18/01°) (SEDE) - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 03 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200015.html'>AVDA. GRAL. LAS HERAS 3086</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200016.html'>0200016</a>,JIN C (EPCJC 21/01°) - EPC N° 21 ANGEL GALLARDO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200016.html'>AYACUCHO 1849</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200017.html'>0200017</a>,CENS N° 24 - EPC N° 23 BERNARDINO RIVADAVIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200017.html'>LARREA 854</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200018.html'>0200018</a>,EPC N° 24 CyF.PIZARRO y M. PIZARROyMONJE - CEC IDIOMAS EXTRANJEROS N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200018.html'>PEÑA 2670</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200020.html'>0200020</a>,EPC N° 26 ADOLFO VAN GELDEREN - CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 2 - JIC N° 09/01°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200020.html'>JERONIMO SALGUERO 2455</a>
