cui,establecimiento,domicilio,Domicilio,Establecimiento
0200001,JIN C (EPCJS 01/01°) - EPC N° 01 JUAN JOSE CASTELLI - CENS - UGEE N° 01,AYACUCHO 1680,<a href='https://jpcib.github.io/sistemaBochi/pages/0200001.html'>AYACUCHO 1680</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200001.html'>JIN C (EPCJS 01/01°) - EPC N° 01 JUAN JOSE CASTELLI - CENS - UGEE N° 01</a>
0200002,SUPERVISIÓN DE 1 - JIC N° 04/01° CINCO ESQUINAS - EPC N° 02 DOMINGO FAUSTINO SARMIENTO - ESC. DE MUSICA N° 16 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 04 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 04,AVDA. PTE. MANUEL QUINTANA 31,<a href='https://jpcib.github.io/sistemaBochi/pages/0200002.html'>AVDA. PTE. MANUEL QUINTANA 31</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200002.html'>SUPERVISIÓN DE 1 - JIC N° 04/01° CINCO ESQUINAS - EPC N° 02 DOMINGO FAUSTINO SARMIENTO - ESC. DE MUSICA N° 16 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 04 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 04</a>
0200003,EPA N° 03 DR. ONESIMO LEGUIZAMON - EPC N° 03 DR. ONESIMO LEGUIZAMON,AVDA. SANTA FE 1510,<a href='https://jpcib.github.io/sistemaBochi/pages/0200003.html'>AVDA. SANTA FE 1510</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200003.html'>EPA N° 03 DR. ONESIMO LEGUIZAMON - EPC N° 03 DR. ONESIMO LEGUIZAMON</a>
0200004,CENS N° 08 - EPC N° 04 JOSE MANUEL ESTRADA,RECONQUISTA 461,<a href='https://jpcib.github.io/sistemaBochi/pages/0200004.html'>RECONQUISTA 461</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200004.html'>CENS N° 08 - EPC N° 04 JOSE MANUEL ESTRADA</a>
0200005,JII N° 13/01° - EPC N° 05 NICOLAS RODRIGUEZ PEÑA - IFTS N° 05,RODRIGUEZ PEÑA 747,<a href='https://jpcib.github.io/sistemaBochi/pages/0200005.html'>RODRIGUEZ PEÑA 747</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200005.html'>JII N° 13/01° - EPC N° 05 NICOLAS RODRIGUEZ PEÑA - IFTS N° 05</a>
0200006,CENS Nº 90 - EPC N° 06 FRENCH Y BERUTI - JII N° 02/01° - EPA N° 06 FRENCH Y BERUTI,BASAVILBASO 1295,<a href='https://jpcib.github.io/sistemaBochi/pages/0200006.html'>BASAVILBASO 1295</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200006.html'>CENS Nº 90 - EPC N° 06 FRENCH Y BERUTI - JII N° 02/01° - EPA N° 06 FRENCH Y BERUTI</a>
0200007,Sup Inicial I A - JIN A (EPCJS 07/01°) - EPA N° 07 PRESIDENTE ROCA - EPC N° 07 PRESIDENTE ROCA,LIBERTAD 581,<a href='https://jpcib.github.io/sistemaBochi/pages/0200007.html'>LIBERTAD 581</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200007.html'>Sup Inicial I A - JIN A (EPCJS 07/01°) - EPA N° 07 PRESIDENTE ROCA - EPC N° 07 PRESIDENTE ROCA</a>
0200008,Sup Adultos Region VI - JIN A (EPCJC 08/01°) - EPC N° 08 NICOLAS AVELLANEDA - CENS N° 03 - EPA N° 08 NICOLAS AVELLANEDA - CENTRO EDUCATIVO CURSOS ESPECIALES - SUPERVISIÓN CURSOS ESPECIALES,TALCAHUANO 680,<a href='https://jpcib.github.io/sistemaBochi/pages/0200008.html'>TALCAHUANO 680</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200008.html'>Sup Adultos Region VI - JIN A (EPCJC 08/01°) - EPC N° 08 NICOLAS AVELLANEDA - CENS N° 03 - EPA N° 08 NICOLAS AVELLANEDA - CENTRO EDUCATIVO CURSOS ESPECIALES - SUPERVISIÓN CURSOS ESPECIALES</a>
0200009,JIN A (EPCJC 09/01°) - EPC N° 09 FAMILIA DE CABEZON - CENS N° 26,TTE. GRAL. JUAN DOMINGO PERON 1140,<a href='https://jpcib.github.io/sistemaBochi/pages/0200009.html'>TTE. GRAL. JUAN DOMINGO PERON 1140</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200009.html'>JIN A (EPCJC 09/01°) - EPC N° 09 FAMILIA DE CABEZON - CENS N° 26</a>
0200010,JIN B (EPCJC 10/01°) - EPC N° 10 PRESIDENTE MANUEL QUINTANA - EPA N° 10 PRESIDENTE MANUEL QUINTANA,LAVALLE 2366,<a href='https://jpcib.github.io/sistemaBochi/pages/0200010.html'>LAVALLE 2366</a>,<a href='https://jpcib.github.io/sistemaBochi/pages/0200010.html'>JIN B (EPCJC 10/01°) - EPC N° 10 PRESIDENTE MANUEL QUINTANA - EPA N° 10 PRESIDENTE MANUEL QUINTANA</a>
