cui,distrito,nombre_establecimiento,domicilio_edificio,numero_escuela
0200001,1,JIN C (EPCJS 01/01°) - EPC N° 01 JUAN JOSE CASTELLI - CENS - UGEE N° 01,AYACUCHO 1680,01-01-01
0200002,1,SUPERVISIÓN DE 1 - JIC N° 04/01° CINCO ESQUINAS - EPC N° 02 DOMINGO FAUSTINO SARMIENTO - ESC. DE MUSICA N° 16 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 04 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 04,AVDA. PTE. MANUEL QUINTANA 31,1-04-02-16-04-04
0200003,1,EPA N° 03 DR. ONESIMO LEGUIZAMON - EPC N° 03 DR. ONESIMO LEGUIZAMON,AVDA. SANTA FE 1510,03-03
0200004,1,CENS N° 08 - EPC N° 04 JOSE MANUEL ESTRADA,RECONQUISTA 461,08-04
0200005,1,JII N° 13/01° - EPC N° 05 NICOLAS RODRIGUEZ PEÑA - IFTS N° 05,RODRIGUEZ PEÑA 747,13-05-05
0200006,1,CENS Nº 90 - EPC N° 06 FRENCH Y BERUTI - JII N° 02/01° - EPA N° 06 FRENCH Y BERUTI,BASAVILBASO 1295,90-06-02-06
0200007,1,Sup Inicial I A - JIN A (EPCJS 07/01°) - EPA N° 07 PRESIDENTE ROCA - EPC N° 07 PRESIDENTE ROCA,LIBERTAD 581,07-07-07
0200008,1,Sup Adultos Region VI - JIN A (EPCJC 08/01°) - EPC N° 08 NICOLAS AVELLANEDA - CENS N° 03 - EPA N° 08 NICOLAS AVELLANEDA - CENTRO EDUCATIVO CURSOS ESPECIALES - SUPERVISIÓN CURSOS ESPECIALES,TALCAHUANO 680,08-08-03-08
0200009,1,JIN A (EPCJC 09/01°) - EPC N° 09 FAMILIA DE CABEZON - CENS N° 26,TTE. GRAL. JUAN DOMINGO PERON 1140,09-09-26
0200010,1,JIN B (EPCJC 10/01°) - EPC N° 10 PRESIDENTE MANUEL QUINTANA - EPA N° 10 PRESIDENTE MANUEL QUINTANA,LAVALLE 2366,10-10-10
0200011,1,JII N° 01/01° - EPC N° 12 GRAL. LAS HERAS - CEC PLASTICA 01,JULIAN ALVAREZ 2849,01-12-01
0200012,1,EPC N° 13 GRAL. SAN MARTIN - CENS N° 46,SAN MARTIN 458,13-46
0200013,1,EPC N° 14 CORNELIO SAAVEDRA - JIN B (EPCJC 14/01°) [S] - CENOF CENTRO SARMIENTO,SARMIENTO 2250,14-14
0200014,1,EPC N° 16 WENCESLAO POSSE - JIC N° 03/01° - CENOF CENTRO JUNCAL - ESC. PRIM. 16/01°,JUNCAL 3131,16-03-16
0200015,1,EPA N° 18 DR. RAFAEL HERRERA VEGAS - EPC N° 18 DR. RAFAEL HERRERA VEGAS - JIN C (EPCJS 18/01°) (SEDE) - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 03 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 01,AVDA. GRAL. LAS HERAS 3086,18-18-18-03-01
0200016,1,JIN C (EPCJC 21/01°) - EPC N° 21 ANGEL GALLARDO,AYACUCHO 1849,21-21
0200017,1,CENS N° 24 - EPC N° 23 BERNARDINO RIVADAVIA,LARREA 854,24-23
0200018,1,EPC N° 24 CyF.PIZARRO y M. PIZARROyMONJE - CEC IDIOMAS EXTRANJEROS N° 01,PEÑA 2670,24-01
0200020,1,EPC N° 26 ADOLFO VAN GELDEREN - CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 2 - JIC N° 09/01°,JERONIMO SALGUERO 2455,26-2-09
0200022,1,ESPACIO PRIMERA INFANCIA COLEGIO N° 02 - COLEGIO N° 02 DOMINGO FAUSTINO SARMIENTO - CAIYJ CLUB CENTRO,LIBERTAD 1257,02-02
0200023,1,"Sup Media Region I - Sup.Educ.Tec.Region I DE 01,03 - ESC. DE COM. Nº 02 DR. ANTONIO BERMEJO",AVDA. CALLAO 628,01-03-02
0200024,1,ESC. TEC.  N° 12 LIB. GRAL. JOSE DE SAN MARTIN,AVDA. DEL LIBERTADOR 238,12
0200025,1,ESC. TEC. N° 19 ALEJANDRO VOLTA,LAVALLE 1681,19
0200026,1,ISFA [A 3] - ESC. SUPERIOR DE EDUCACIÓN ARTÍSTICA EN DANZA AÍDA VICTORIA MASTRAZZI,ESMERALDA 285,3
0200027,1,IFTS N° 14 - CBF OCUPACIONAL N° 04 PAULO FREIRE,JUNCAL 1258,14-04
0200028,1,ESC. DE COM. N° 26 ENRIQUE DE VEDIA - ENS LENGUAS VIVAS SOFIA DE SPANGENBERG - ESCUELA DE MAESTROS ([A] 04),JUNCAL 3251,26-04
0200029,1,ENS N° 01 LENGUAS VIVAS PRES. R. S. PEÑA - LICEO N° 04 R. DE ESCALADA DE SAN MARTIN - ESEA  DANZA RAMICONE  FOLKLORE N° 21 - ESC. DE COM. N° 10 ISLAS MALVINAS,AVDA. CORDOBA 1951,01-04-21-10
0200030,1,ENS N° 09 DOMINGO FAUSTINO SARMIENTO - LICEO N° 07 DOMINGO FAUSTINO SARMIENTO,AVDA. CALLAO 450,09-07
0200031,1,INST. DE EDUCACIÓN SUPERIOR N° 01 DRA. ALICIA MOREAU DE JUSTO - CENS N° 13,AVDA. CORDOBA 2016,01-13
0200032,1,INST. DE ENSEÑANZA SUPERIOR EN LENGUAS VIVAS JUAN RAMÓN FERNÁNDEZ,CARLOS PELLEGRINI 1515,
0200033,1,ESC. INTEGRAL INTERDISCIPLINARIA Nª 01,AYACUCHO 953,01
