cui,entrega,item,n,texto
0200001,2021,armario,4,armario 4
0200001,2021,escritorio,6,escritorio 6
0200001,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200001,2021,silla escolar,124,silla escolar 124
0200001,2022,armario,4,armario 4
0200001,2022,banco largo comedor,60,banco largo comedor 60
0200002,2021,banco largo comedor,36,banco largo comedor 36
0200002,2021,escritorio,4,escritorio 4
0200002,2021,juego de patio,1,juego de patio 1
0200002,2021,mesa 6 alumnos,18,mesa 6 alumnos 18
0200002,2021,piso antigolpe para juegos,60,piso antigolpe para juegos 60
0200002,2021,silla escolar,124,silla escolar 124
0200002,2021,varios,10,varios 10
0200002,2022,armario,2,armario 2
0200002,2022,mesa inicial,5,mesa inicial 5
0200002,2022,pizarrón,7,pizarrón 7
0200002,2022,silla escolar,30,silla escolar 30
0200002,2022,varios,1,varios 1
0200003,2021,banco largo comedor,50,banco largo comedor 50
0200003,2021,escritorio,6,escritorio 6
0200003,2021,mesa 6 alumnos,25,mesa 6 alumnos 25
0200003,2021,mesa pupitre doble,75,mesa pupitre doble 75
0200003,2021,pizarrón,2,pizarrón 2
0200003,2021,silla escolar,176,silla escolar 176
0200004,2021,banco largo comedor,50,banco largo comedor 50
0200004,2021,mesa 6 alumnos,25,mesa 6 alumnos 25
0200005,2021,mesa inicial,10,mesa inicial 10
0200005,2021,silla escolar,60,silla escolar 60
0200005,2022,armario,4,armario 4
0200005,2022,mesa inicial,10,mesa inicial 10
0200005,2022,mesa pupitre doble,22,mesa pupitre doble 22
0200005,2022,silla escolar,134,silla escolar 134
0200006,2021,armario,4,armario 4
0200006,2021,banco largo comedor,96,banco largo comedor 96
0200006,2021,escritorio,2,escritorio 2
0200006,2021,mesa 6 alumnos,48,mesa 6 alumnos 48
0200006,2021,mesa pupitre doble,75,mesa pupitre doble 75
0200006,2021,silla escolar,152,silla escolar 152
0200006,2022,armario,2,armario 2
0200007,2021,armario,4,armario 4
0200007,2021,mesa inicial,6,mesa inicial 6
0200007,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200007,2021,silla escolar,60,silla escolar 60
0200007,2022,armario,2,armario 2
0200007,2022,mesa pupitre doble,52,mesa pupitre doble 52
0200007,2022,pizarrón,14,pizarrón 14
0200007,2022,silla escolar,106,silla escolar 106
0200007,2023,armario,1,armario 1
0200007,2023,pizarrón,14,pizarrón 14
0200008,2021,pizarrón,2,pizarrón 2
0200008,2022,armario,4,armario 4
0200008,2022,mesa inicial,4,mesa inicial 4
0200008,2022,mesa integradora con escotadura,1,mesa integradora con escotadura 1
0200008,2022,mesa pupitre doble,30,mesa pupitre doble 30
0200008,2022,pizarrón,11,pizarrón 11
0200008,2022,silla escolar,83,silla escolar 83
0200009,2021,escritorio,2,escritorio 2
0200009,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200009,2021,pizarrón,12,pizarrón 12
0200009,2021,silla escolar,62,silla escolar 62
0200009,2022,mesa inicial,5,mesa inicial 5
0200009,2022,silla escolar,30,silla escolar 30
0200010,2022,armario,9,armario 9
0200010,2022,escritorio,7,escritorio 7
0200010,2022,mesa inicial,8,mesa inicial 8
0200010,2022,mesa pupitre doble,78,mesa pupitre doble 78
0200010,2022,pizarrón,20,pizarrón 20
0200010,2022,silla escolar,221,silla escolar 221
0200011,2021,mesa inicial,10,mesa inicial 10
0200011,2021,mesa pupitre doble,12,mesa pupitre doble 12
0200011,2021,silla escolar,84,silla escolar 84
0200011,2022,armario,2,armario 2
0200011,2022,escritorio,2,escritorio 2
0200011,2022,varios,3,varios 3
0200012,2021,escritorio,2,escritorio 2
0200012,2021,mesa pupitre doble,30,mesa pupitre doble 30
0200012,2021,silla escolar,62,silla escolar 62
0200013,2021,armario,3,armario 3
0200013,2021,mesa inicial,5,mesa inicial 5
0200013,2021,silla escolar,30,silla escolar 30
0200013,2022,armario,2,armario 2
0200013,2022,mesa inicial,10,mesa inicial 10
0200013,2022,mesa pupitre doble,45,mesa pupitre doble 45
0200013,2022,pizarrón,15,pizarrón 15
0200013,2022,silla escolar,160,silla escolar 160
0200014,2022,mesa inicial,10,mesa inicial 10
0200014,2022,silla escolar,85,silla escolar 85
0200015,2021,armario,8,armario 8
0200015,2021,escritorio,4,escritorio 4
0200015,2021,mesa inicial,5,mesa inicial 5
0200015,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200015,2021,pizarrón,3,pizarrón 3
0200015,2021,silla escolar,124,silla escolar 124
0200015,2022,armario,8,armario 8
0200015,2022,mesa inicial,5,mesa inicial 5
0200015,2022,silla escolar,60,silla escolar 60
0200015,2023,armario,3,armario 3
0200016,2021,armario,4,armario 4
0200016,2021,escritorio,4,escritorio 4
0200016,2021,mesa pupitre doble,60,mesa pupitre doble 60
0200016,2021,silla escolar,124,silla escolar 124
0200016,2022,armario,2,armario 2
0200016,2022,banco largo comedor,112,banco largo comedor 112
0200016,2022,mesa 6 alumnos,56,mesa 6 alumnos 56
0200016,2022,mesa inicial,5,mesa inicial 5
0200016,2022,pizarrón,7,pizarrón 7
0200016,2022,silla escolar,30,silla escolar 30
0200017,2022,banco largo comedor,8,banco largo comedor 8
0200017,2022,escritorio,3,escritorio 3
0200017,2022,mesa 6 alumnos,4,mesa 6 alumnos 4
0200017,2022,mesa pupitre doble,47,mesa pupitre doble 47
0200017,2022,pizarrón,4,pizarrón 4
0200017,2022,silla escolar,93,silla escolar 93
0200018,2021,escritorio,7,escritorio 7
0200018,2021,mesa pupitre doble,89,mesa pupitre doble 89
0200018,2021,pizarrón,14,pizarrón 14
0200018,2021,silla escolar,185,silla escolar 185
0200020,2023,varios,1,varios 1
0200022,2022,escritorio,5,escritorio 5
0200022,2022,mesa pupitre doble,75,mesa pupitre doble 75
