cui,entrega,texto
00000na,2021,"Armario 22, Escritorio 16, Mesa pupitre doble 290, Mesa usos múltiples 20, Piso antigolpe para juegos 100, Pizarrón 26, Silla escolar 748, Varios 22"
00000na,2022,"Armario 53, Banco largo comedor 207, Mesa pupitre doble 194, Mesa usos múltiples 78, Piso antigolpe para juegos 50, Silla escolar 1185"
00000na,2023,"Armario 241, Banco largo comedor 289, Biblioteca 27, Escritorio 142, Juego de patio 33, Locker 78, Mesa inicial 412, Mesa integradora con escotadura 8, Mesa pupitre doble 1113, Mesa usos múltiples 419, Piso antigolpe para juegos 1759, Pizarrón 392, Silla escolar 4687, Varios 175, NA 2522"
000null,2021,"Armario 16, Varios 2"
000null,2022,"Armario 3, Escritorio 5, Juego de patio 1, Mesa usos múltiples 23"
000null,2023,Armario 15
0200001,2021,"Armario 4, Escritorio 6, Mesa pupitre doble 60, Silla escolar 124"
0200001,2022,"Armario 4, Banco largo comedor 60"
0200001,2023,"Juego de patio 1, Piso antigolpe para juegos 1"
0200002,2021,"Banco largo comedor 36, Escritorio 4, Juego de patio 1, Mesa usos múltiples 18, Piso antigolpe para juegos 60, Silla escolar 124, Varios 10"
0200002,2022,"Armario 2, Mesa inicial 5, Pizarrón 7, Silla escolar 30, Varios 1"
0200003,2021,"Banco largo comedor 50, Escritorio 6, Mesa pupitre doble 75, Mesa usos múltiples 25, Pizarrón 2, Silla escolar 176"
0200004,2021,"Banco largo comedor 50, Mesa usos múltiples 25"
0200005,2021,"Mesa inicial 10, Silla escolar 60"
0200005,2022,"Armario 4, Mesa inicial 10, Mesa pupitre doble 22, Silla escolar 134"
0200006,2021,"Armario 4, Banco largo comedor 96, Escritorio 2, Mesa pupitre doble 75, Mesa usos múltiples 48, Silla escolar 152"
0200006,2022,Armario 2
0200006,2023,"Mesa inicial 10, Silla escolar 60"
0200007,2021,"Armario 4, Mesa inicial 6, Mesa pupitre doble 60, Silla escolar 60"
0200007,2022,"Armario 2, Mesa pupitre doble 52, Pizarrón 14, Silla escolar 106"
0200007,2023,"Armario 1, Pizarrón 14"
0200008,2021,Pizarrón 2
0200008,2022,"Armario 4, Mesa inicial 4, Mesa integradora con escotadura 1, Mesa pupitre doble 30, Pizarrón 11, Silla escolar 83"
0200009,2021,"Escritorio 2, Mesa pupitre doble 60, Pizarrón 12, Silla escolar 62"
0200009,2022,"Mesa inicial 5, Silla escolar 30"
0200010,2022,"Armario 9, Escritorio 7, Mesa inicial 8, Mesa pupitre doble 78, Pizarrón 20, Silla escolar 221"
0200011,2021,"Mesa inicial 10, Mesa pupitre doble 12, Silla escolar 84"
0200011,2022,"Armario 2, Escritorio 2, Varios 3"
0200012,2021,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200013,2021,"Armario 3, Mesa inicial 5, Silla escolar 30"
0200013,2022,"Armario 2, Mesa inicial 10, Mesa pupitre doble 45, Pizarrón 15, Silla escolar 160"
0200014,2022,"Mesa inicial 10, Silla escolar 85"
0200015,2021,"Armario 8, Escritorio 4, Mesa inicial 5, Mesa pupitre doble 60, Pizarrón 3, Silla escolar 124"
0200015,2022,"Armario 8, Mesa inicial 5, Silla escolar 60"
0200015,2023,Armario 3
0200016,2021,"Armario 4, Escritorio 4, Mesa pupitre doble 60, Silla escolar 124"
0200016,2022,"Armario 2, Banco largo comedor 112, Mesa inicial 5, Mesa usos múltiples 56, Pizarrón 7, Silla escolar 30"
0200017,2022,"Banco largo comedor 8, Escritorio 3, Mesa pupitre doble 47, Mesa usos múltiples 4, Pizarrón 4, Silla escolar 93"
0200018,2021,"Escritorio 7, Mesa pupitre doble 89, Pizarrón 14, Silla escolar 185"
0200020,2023,Varios 1
0200022,2022,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200022,2023,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200023,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200023,2022,"Escritorio 4, Mesa pupitre doble 64, Pizarrón 4, Silla escolar 132"
0200023,2023,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200024,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200024,2022,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200024,2023,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200025,2021,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200025,2022,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200025,2023,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 4, Silla escolar 62"
0200026,2021,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200026,2022,"Escritorio 2, Mesa pupitre doble 32, Pizarrón 2, Silla escolar 64, Varios 2"
0200026,2023,"Escritorio 2, Locker 15, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200028,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4"
0200028,2022,"Escritorio 4, Mesa inicial 6, Mesa pupitre doble 60, Pizarrón 5, Silla escolar 154"
0200029,2021,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200029,2022,"Armario 1, Banco largo comedor 2, Escritorio 6, Mesa pupitre doble 90, Pizarrón 6, Silla escolar 186"
0200029,2023,"Escritorio 6, Juego de patio 1, Mesa pupitre doble 90, Piso antigolpe para juegos 1, Pizarrón 6, Silla escolar 186, Varios 3"
0200030,2021,"Armario 4, Escritorio 4, Mesa pupitre doble 90, Pizarrón 4, Silla escolar 60"
0200030,2022,"Armario 20, Escritorio 8, Mesa pupitre doble 120, Pizarrón 10, Silla escolar 248"
0200030,2023,"Escritorio 1, Mesa pupitre doble 15, Pizarrón 1, Silla escolar 31"
0200031,2022,"Armario 3, Pizarrón 6"
0200032,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200032,2022,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200033,2021,"Armario 5, Mesa inicial 1"
0200033,2022,Silla escolar 6
0200041,2021,"Mesa trabajo estante 4, Varios 8"
0200057,2023,"Armario 1, Silla escolar 7"
0200063,2021,"Armario 6, Escritorio 3, Mesa inicial 6, Pizarrón 3, Silla escolar 48, Varios 43"
0200063,2022,"Armario 8, Varios 32"
0200076,2021,"Armario 3, Banco largo comedor 64, Escritorio 4, Mesa pupitre doble 60, Mesa usos múltiples 27, Silla escolar 124"
0200076,2022,Armario 6
0200077,2022,"Escritorio 4, Mesa pupitre doble 45, Silla escolar 93"
0200080,2023,"Armario 3, Escritorio 3, Silla escolar 9"
0200081,2021,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200081,2023,Mesa usos múltiples 12
0200082,2021,"Armario 6, Mesa inicial 6, Pizarrón 2, Silla escolar 25"
0200083,2021,"Banco largo comedor 52, Mesa inicial 5, Mesa usos múltiples 26, Silla escolar 30"
0200083,2022,Armario 2
0200084,2021,"Armario 6, Banco largo comedor 32, Biblioteca 5, Mesa usos múltiples 9, Pizarrón 1"
0200084,2022,Armario 4
0200085,2021,Piso antigolpe para juegos 12
0200086,2021,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 6, Silla escolar 62"
0200086,2022,"Armario 14, Banco largo comedor 64, Escritorio 7, Mesa pupitre doble 26, Mesa usos múltiples 32, Pizarrón 8, Silla escolar 61"
0200087,2022,Armario 2
0200088,2021,"Armario 4, Banco largo comedor 4, Mesa inicial 5, Mesa usos múltiples 2, Silla escolar 30, Varios 30"
0200089,2021,"Banco largo comedor 31, Mesa usos múltiples 1"
0200090,2023,"Armario 3, Escritorio 3, Silla escolar 9"
0200092,2022,Armario 5
0200093,2022,"Armario 22, Escritorio 11, Mesa pupitre doble 52, Pizarrón 11, Silla escolar 125"
0200095,2021,"Armario 4, Escritorio 4, Mesa pupitre doble 60, Pizarrón 2, Silla escolar 124"
0200096,2021,"Escritorio 4, Mesa pupitre doble 108, Pizarrón 6, Silla escolar 124"
0200096,2022,"Escritorio 4, Mesa pupitre doble 68, Pizarrón 4, Silla escolar 136"
0200097,2023,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200098,2021,"Escritorio 6, Mesa pupitre doble 95, Pizarrón 6, Silla escolar 186"
0200098,2022,Mesa pupitre doble 60
0200098,2023,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 8, Silla escolar 124"
0200099,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200099,2022,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 122"
0200099,2023,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200100,2021,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200100,2022,"Escritorio 3, Mesa pupitre doble 60, Pizarrón 8, Silla escolar 123"
0200100,2023,"Escritorio 6, Mesa pupitre doble 90, Pizarrón 6, Silla escolar 186"
0200101,2021,"Armario 3, Escritorio 4, Mesa pupitre doble 60, Pizarrón 5"
0200101,2022,"Armario 6, Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200101,2023,Armario 2
0200102,2021,"Armario 4, Banco largo comedor 20, Escritorio 5, Mesa pupitre doble 75, Mesa usos múltiples 10, Pizarrón 7, Silla escolar 155"
0200102,2022,"Armario 8, Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Varios 3"
0200102,2023,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200103,2021,Armario 6
0200104,2022,"Mesa inicial 10, Silla escolar 75"
0200106,2021,Silla escolar 62
0200106,2023,Locker 40
0200123,2021,"Mesa inicial 20, Silla escolar 120"
0200123,2022,Varios 27
