n_proyecto,proy,cui,escuela,direccion,intervenciones,estado,subestado,fuente,programa,ano_plan,avance_de_obra_real,dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,fin_obra,ppto_estimado
x068,x089,200001,juan jose castelli,ayacucho 1680,"fachadas (cambio de carpinterias y parasoles), nucleos sanitarios,(aula jines) mudanza de una sala, pintura completa, instalacion electrica y sanitario. analizar instalacion termomecanica. red de proteccion en azotea.",en proyecto,cyp,f11,mejora edilicia,2024,NA,5/12/2023,3/04/2024,270,x,3/4/2025,"$380.000.000,00"
x069,x116,200006,centro educativo nº 31 padre carlos mugica,juncal 690 y basavilbaso 1295,"reparacion de cubiertas (inicial y primaria), acc basica (montasilla y baño de disca), pintura general - instalacion electrica de la inicial - sector de sombras inicial y primaria - solado de patio de la primaria e inicial - recambio de carpinterias y colocacion de rejas - evaluacion de instalacion sanitaria + ee: remediacion de rejas",en obra,en obra,f11,mejora edilicia,2024,0%,2/08/2023,30/11/2023,365,x,29/11/2024,"$629.566.069,49"
x070,x113,200080,del centenario,rio de janeiro 986,"acc. plena, pintura y adecuacion de instalacion electrica",en obra,en obra,f11,mejora edilicia,2024,0%,2/08/2023,30/11/2023,300,x,25/09/2024,"$138.330.209,66"
x071,x073,200088,presidente uriburu,avda. angel gallardo 246,"restauracion patrimonial,impermeabilizacion, cielorrasos, acondicionamiento instalaciones y  pintura patios",licitación,licitación,f11,mejora edilicia,2024,NA,29/11/2023,28/03/2024,270,x,23/12/2024,"$305.525.140,96"
x072,x083,200097,colegio nº 03 mariano moreno de 02,avda. rivadavia 3577,refuncionalización de sanitarios- restauracion de fachadas interiores y exteriores- cielorrasos ( cambio y/o restauración)- solados- restauracion de mansarda y vitreaux- instalacion electrica completa- adecuación de instalacion sanitaria. incendio y gas- y adecuación de subsuelo ( tratamiento de humedad),en proyecto,frenada,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,"$580.000.000,00"
x073,x311,200099,colegio nº 14 juan jose paso de 02,valentin gomez 3163,"accesibilidad basica, fisuras, reparacion de revoques, pintura general, carpinterias, adecuacion sanitarios, patios",planificado,planificado,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,NA
x074,x233,200101,ens nº 06 vicente lopez y planes de 02,guemes 3859,"plan mejora edif historica adecuacion  inst electrica , gas-calefaccion patio , cubierta , reparacion revoques y pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,NA
x075,x199,200105,"polideportivo de la esc. normal superior nº7 ""jose maria torres""",sarmiento 4041,solado de madera del gimnacio y revoques,licitación,licitación,f11,mejora edilicia,2024,NA,17/08/2023,15/12/2023,150,x,13/05/2024,"$85.031.910,88"
x076,x065,200123,ei nº 02 mane bernardo de 03,chile 1626,"etapa 2022-23 adecuación de cubierta, patio, instalación eléctrica completa (amparo) y pintura",en proyecto,frenada,f11,mejora edilicia,2024,NA,7/08/2023,-,300,x,-,"$183.705.656,87"
x077,x254,200133,esc. primaria común n° 22 carlos pellegrini,entre rios 1341,"adecuacion  calefaccion, inst electrica , patio , muros ,cubierta, acesibilidad basica  , pintura en areas significativas, adecuacion cocina.",planificado,planificado,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,NA
x078,x023,200137,colegio nº 01 bernardino rivadavia de 03,san juan 1545,"se realizará la reparación de revoques, filtraciones y trabajos de pintura. instalación eléctrica completa.",licitación,licitación,f11,mejora edilicia,2024,NA,17/11/2023,16/03/2024,300,x,10/01/2025,"$329.759.445,02"
x079,x206,200178,jii nº 01 quinquela martin de 04,gral. gregorio araoz de lamadrid 648,"ejecucion de a nuevo de patios de jardin, acceso, estructura y solado",licitación,licitación,f11,mejora edilicia,2024,NA,11/11/2023,26/12/2023,90,x,25/03/2024,"$27.536.291,07"
x080,x102,200179,gral. gregorio araoz de lamadrid,lamadrid 499,"historica. fachada, patio, instalacion electrica,carpinterias,sanitarios y pintura",en proyecto,en proyecto,f11,mejora edilicia,2024,NA,24/03/2024,22/07/2024,360,x,17/07/2025,"$630.000.000,00"
x081,x222,200186,escuela 22 d.e. 4 - dr. guillermo rawson,humberto 1° 343,"plan mejora de inst gas-calefaccion + cubierta , instalacion electrica, adecuacion sanitarios, reparacion revoques y pintura en areas significativas",en proyecto,en proyecto,f11,mejora edilicia,2024,NA,30/01/2024,29/05/2024,300,NA,25/3/2025,"$180.000.000,00"
x082,x227,200190,francisco p. moreno,jose aaron salmun feijoo 1073,plan mejora de patio + adecuacion pisos de madera+ muro con humedades+ carpinteria +prov agua+  inst electrica + y pintura en areas significativas. accesibilidad23,en proyecto,en proyecto,f11,mejora edilicia,2024,NA,14/02/2024,13/06/2024,360,-,8/06/2025,"$180.000.000,00"
x083,x231,200195,esc. tec. nº 01 ingeniero otto krause de 04,paseo colon 650,"accesibilidad. pintura. impermeabilización en sector de aulas. instalación eléctrica: terminar obra rescindida de instalación eléctrica de talleres. termo
. terminar la obra eléctrica rescindida (instalación eléctrica de los talleres). adecuación de instalación de gas. instalación sanitaria (vestuariso)",en proyecto,instalaciones,f11,mejora edilicia,2024,NA,25/02/2024,24/06/2024,360,NA,19/06/2025,NA
x084,x255,200233,republica de haiti,lafayette 1879,"adecuacion de patios , inst electrica y pintura, rejas de seguridad",planificado,planificado,f11,mejora edilicia,2024,NA,2/05/2024,30/08/2024,300,NA,26/06/2025,"$120.000.000,00"
x085,x043,200261,jii nº 10 de 05,avda. gral. iriarte 3880,traslado de aulas modulares + adecuación y tendido elect,en proyecto,en proyecto,f11,ampliacion,2024,NA,19/02/2024,18/06/2024,180,NA,15/12/2024,NA
x086,x258,200304,brig. gral. jose m. zapiola,urquiza 227,"historica. fachada, patio, instalacion electrica,carpinterias,sanitarios y pintura",planificado,planificado,f11,mejora edilicia,2024,NA,26/07/2024,23/11/2024,360,NA,18/11/2025,"$230.000.000,00"
x087,x020,200312,instituto bernasconi,rondeau 2751 - bernasconi,"freno de deterioro en fachadas exteriores e interiores, adecuación carpinteria",en obra,en obra,f11,mejora edilicia,2024,7%,2/02/2023,2/06/2023,720,NA,30/08/2025,"$305.717.923,68"
x088,x260,200312,esc. primaria común n° 04 enrique banchs - inst. f. f. bernasconi,rondeau 2751 - bernasconi,instalacion termomecanica,en proyecto,en proyecto,f11,mejora edilicia,2024,NA,10/02/2024,9/06/2024,360,NA,4/06/2025,"$900.000.000,00"
x089,x220,200328,"escuela para niños,niñas,jovenes y adultos con discapacidad mental y formacion integral nº 09 dr.luis r mac kay de 06",carlos calvo 3176,"plan mejora adecuacion aulas, revoques y carpinteria   + inst electrica  y pintura en areas significativas + accesibilidad plena",en proyecto,instalaciones,f11,mejora edilicia,2024,NA,6/02/2023,6/06/2023,300,x,1/4/2024,"$180.000.000,00"
x090,x241,200334,maestro jorge luis chinetti,estados unidos 3141/uriburu 876,"patios exteriore, sanitarios,  inst electrica , acond gas pintura y accesibilidad basica",planificado,a iniciar proyecto,f11,mejora edilicia,2024,NA,28/05/2024,25/09/2024,270,NA,22/06/2025,"$230.000.000,00"
x091,x104,200369,galicia,luis viale 1052,"demolicion completa de contruccion en patio y trabajos de retiro de asbesto, accesibilidad  basica, cambio de carpinterias y cubierta  de galeria y paso que da al patio, nuevo nucleo sanitario en donde funcionaba la sala de maestro y sanitario adjunto. demolicion de sanitarios en sum. demolicion de parrilla y armado de lugar para gimnacio.  puesta en valor de sanitarios existentes y sala de auxiliares. instalacion sanitaria (cambio de tanque bombeo) y adecuacion de instalacion electrica. refuncionalizar casa del casero: cambio de cielorraso, puesta en valor del santario, cambio de carpinterias. completamiento de medianera y arreglo de muro existente.",licitación,licitación,f11,mejora edilicia,2024,NA,10/10/2023,7/02/2024,300,x,3/12/2024,"$182.030.051,19"
x092,x082,200412,dr. jose maria ramos mejia,don bosco 4200,"accesibilidad plena, sanitarios, freno de deterioro en fachada y puesta en valor de carpinterias, pintura, incendio (a definir)",en proyecto,cyp,f11,mejora edilicia,2024,NA,23/01/2024,22/05/2024,300,x,18/3/2025,"$320.000.000,00"
x093,x017,200447,armenia argentina,arce 611,re ajuste aulas y ampliacion sala de 3. casa casero?,en obra,en obra,f11,mejora edilicia,2024,0%,5/07/2023,2/11/2023,120,x,29/07/2024,"$87.399.063,88"
x094,x006,200458,provincia del chubut,humboldt 742,instalacion electrica completa,en obra,en obra,f11,mejora edilicia,2024,5%,8/06/2023,6/10/2023,150,NA,4/03/2024,"$90.075.851,39"
x095,x085,200497,esteban echeverria,moldes 1858,"sanitarios, patios, cubierta (impermeabilizacion y arreglos de cubierta parabolica), cielorrasos, puesta en valor de escalera y aulas. ie completa. supervision (patios, solados, carpinterias, sanitarios y sellado de lucarnas).",licitación,licitación,f11,mejora edilicia,2024,NA,18/11/2023,17/03/2024,365,x,17/03/2025,"$631.454.737,75"
x096,x081,200500,manuel dorrego,besares 2990,"cubierta, carpinterias (madera, deterioradas), playon de acceso, puesta en valor sector original del edificio",planificado,planificado,f11,mejora edilicia,2024,NA,3/07/2024,31/10/2024,360,NA,26/10/2025,"$260.000.000,00"
x097,x086,200501,manuel j. garcia,avda. cabildo 3615,"sanitarios, impermeablizacion y pintura / ie completa",en proyecto,en proyecto,f11,mejora edilicia,2024,NA,25/02/2024,24/06/2024,270,NA,21/3/2025,"$280.000.000,00"
x098,x210,200504,joaquin maria cullen,11 de septiembre de 1888 3451,"historica, arreglo de carpinterias, fachadas, patios, ie completa, pintura y adecuacion de casa del casero. puesta en valor de sanitarios y fisuras varias. catalogacion",en proyecto,cyp,f11,mejora edilicia,2024,NA,14/01/2024,13/05/2024,240,x,8/01/2025,"$260.000.000,00"
x099,x071,200508,martin del barco centenera,roque perez 3545 (amparo),"amparo - accesibilidad plena (ascensor, baño de disca y reorganizacion de office, patio de jardin a pb). instalacion electrica completa. instalacion sanitaria.",licitación,licitación,f11,mejora edilicia,2024,NA,21/09/2023,19/01/2024,300,x,14/11/2024,"$483.820.568,13"
x100,x243,200509,provincia de santa fe,pico 2689,plan mejora edif cacciatore adecuacion de patio+ carpinteria  + inst electrica+  cubierta y pintura en areas significativas + polideportivo en terreno lindero. ver fachada ladrillos,planificado,a iniciar proyecto,f11,mejora edilicia,2024,NA,16/06/2024,14/10/2024,300,NA,10/08/2025,"$530.000.000,00"
x101,x301,200515,cornelio saavedra,pinto 3910,"cocina, comedor, cubieta adecuacion sanitarios y ampliacion nivel inicial. pintura integral",en proyecto,en proyecto,f11,mejora edilicia,2024,NA,28/02/2024,27/06/2024,270,NA,24/03/2025,"$180.000.000,00"
