n_proyecto,proy,direccion,cui,intervenciones,presupuesto_estimado,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_plazo,avance_de_obra,fin_obra,eje,ano_plan
x001,x047,avda. pte. manuel quintana 31,0200002,Acondicionamiento de fachadas/ adecuacion de supervision de1,"$143.019.856,00",En Obra,en obra,f11,7/03/2022,1/12/2022,270,-,63%,30/12/23,mejora edilicia,2021 - 2023
x002,x022,avda. santa fe 1510,0200003,"Patios, freno de deterioro en las fachadas.","$72.051.211,52",En Obra,en obra,f11,1/12/2022,4/07/2023,240,NA,77%,29/02/2024,mejora edilicia,2021 - 2023
x003,x003,lavalle 2386 / 2366,0200010,"Impermeabilización en el patio descubierto y el local sanitario de 1° piso y el reemplazo de los desagües
Cloacales en el sector; el mejoramiento sanitarios de alumnos/as presentes; ejecución de rampas que salven diversos desniveles existentes en la planta baja;  pintura y revoques en diversos locales interiores (espacios áulicos y circulaciones)
Mejoramiento integral de los patios descubiertos del edificio. instalación eléctrica de baja tensión y de muy baja tensión.
","$112.421.946,96",En Obra,en obra,f11,19/08/2022,20/01/2023,210,NA,94%,29/12/2023,mejora edilicia,2021 - 2023
x004,x109,ayacucho 1849,0200016,Finalizacion de obra instalacion electrica,"$94.436.192,41",En Obra,en obra,f11,1/08/2023,29/11/2023,120,NA,0%,28/03/2024,mejora edilicia,2021 - 2023
x005,x031,lavalle 1681,0200025,"Mejora edilicia, instalacion electrica completa","$81.733.907,89",Finalizado,finalizado,f11,9/06/2021,Sin fecha de inicio,300,-,100%, - ,mejora edilicia,2021 - 2023
x006,x180,esmeralda 285 caf,0200026,"Restauracion de fachadas, refacciones generales de cielorrasos, pisos, sala
De cooperadora y sala docente , inst eléctrica, sanitarios","$63.582.703,57",En Obra,en obra,f14,9/05/2022,6/09/2022,300,-,50%,3/07/2023,mejora edilicia,2021 - 2023
x007,x025,paraguay 1950,0200029,Impermeabilizacion,"$69.197.587,66",En Obra,neutralizada,f14 p37,13/10/2021,2/12/2022,210,-,94%,30/06/2023,mejora edilicia,2021 - 2023
x008,x066,pellegrini 1515,0200032,Puesta en valor del sum y accesibilidad basica,"$91.749.090,44",En Obra,en obra,f11,17/10/2022,1/03/2023,210,NA,56%,31/01/2024,mejora edilicia,2021 - 2023
x009,x008,chacabuco 922,0200138,Refacción sanitarios y restauración de cubierta,"$ 18.086.962,04",En Obra,en obra,f11,7/02/2023,15/07/2023,180,NA,61%,11/1/2024,mejora edilicia,2021 - 2023
x010,x032,avda. entre rios 757,0200139,"Instalacion electrica completa, impermeabilizacion, mejoras varias en el edificio","$68.845.451,69",En Obra,neutralizada,f11,3/06/2021,22/12/2021,210,210,61%,para rescindir,mejora edilicia,2021 - 2023
x011,x035,avda. paseo colon 650,0200195,Instalacion electrica completa sector talleres,"$51.950.043,85",Finalizado,neutralizada,f11,11/06/2021,-,180,-,60%, - ,mejora edilicia,2021 - 2023
x012,x018,avda. caseros 1555,0200251,Impermeabilización de techos,"$27.798.016,73",Finalizado,finalizado,f11,28/02/2023,28/06/2023,150,NA,100%,25/12/2023,mejora edilicia,2021 - 2023
x013,x064,juan carlos gomez 253,0200253,"Acondicionamiento inst electrica incendio, carpinteria arreglo de revoque y piso patio + adecuacion casa casero para re ubicación aula adecuacion pintura interior pasillos (dgmesc pintaria aulas ) y areas significantes  + patio y fachada","$67.527.137,00",Finalizado,finalizado,f11,7/07/2022,1/12/2022,180,NA,100%,30/11/23,mejora edilicia,2021 - 2023
x014,x146,avda. martin garcia 874,0200258,Obra nueva,"$158.458.673,65",En Obra,neutralizada,f11,17/04/2019,-,730,-,70%,neutralizada,ampliacion,2021 - 2023
x015,x034,arcamendia 743,0200259,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada","$61.355.906,77",En Obra,neutralizada,f11,20/09/2019,23/11/2021,365,75,99%,neutralizada,mejora edilicia,2021 - 2023
x016,x043,avda. gral. iriarte 3880,0200261,Traslado de aulas modulares + adecuación y tendido elect,"$34.094.710,78",En Obra,en obra,f11,18/11/2021,23/08/2022,240,-,49%, - ,ampliacion,2021 - 2023
x017,x024,24 de noviembre 1536,0200300,"Accesibilidad, ascensor, instalacion electrica completa","$58.395.912,76",En Obra,neutralizada,f14 p37,5/08/2021,8/07/2022,240,NA,90%,neutralizada,mejora edilicia,2021 - 2023
x018,x079,humberto iº 3171,0200315,"Acondicionamiento  de acc basica, sanitarios , inst electrica e incendio, prov de agua , cielorraso   , carpinteria ,arreglo patio y  muros con sus revoques. pintura  y patio","$205.148.895,05",En Obra,en obra,f11,17/04/2023,1/09/2023,300,-,14%,27/6/2024,mejora edilicia,2021 - 2023
x019,x037,jujuy 255,0200322,Sanitarios. (fondos inet),"$13.441.665,36",Finalizado,finalizado,f14,23/09/2022,-,120,-,100%, - ,mejora edilicia,2021 - 2023
x020,x105,gral urquiza 277,0200324,Casa de casero,"$14.818.335,16",En Obra,en obra,f11,17/03/2023,1/09/2023,120,NA,42%,30/12/2023,ampliacion,2021 - 2023
x021,x061,carlos calvo 3150 - la rioja 1042,0200326,2 aulas de jardín. accesibilidad plena adecuacion pintura acceso y circulaciones. casa casero,"$ 125.052.938,19",En Obra,en obra,f11,17/01/2023,15/09/2023,300,-,3%,julio 31,mejora edilicia,2021 - 2023
x022,x078,camargo 725,0200354,"Acondicionamiento  de acc basica cubierta (nueva toda la cubierta del gym),inst electricidad,  incendio, cambio calera, prov agua , arreglos menores de revoques patio. pintura general.  mobiliario para guardado","$123.399.625,01",En Obra,en obra,f11,12/09/2022,15/05/2023,180,NA,49%,28/02/2024,mejora edilicia,2021 - 2023
