n_proyecto,direccion,cui,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x001,mom 2358,0200865,"Instalacion electrica completa, aa en patio central",NA,11125823,Finalizado,finalizado,f11,7/7/2022,21/10/2022,90,NA,100%,19/1/2023,NA,mejora edilicia
x002,girardot 1946,0200659,Instalacion electrica completa,NA,24726802,Finalizado,finalizado,f11,7/7/2022,17/11/2022,90,NA,100%,30/6/2023,NA,mejora edilicia
x003,lavalle 2386 / 2366,0200010,"Impermeabilización en el patio descubierto y el local sanitario de 1° piso y el reemplazo de los desagües
Cloacales en el sector; el mejoramiento sanitarios de alumnos/as presentes; ejecución de rampas que salven diversos desniveles existentes en la planta baja;  pintura y revoques en diversos locales interiores (espacios áulicos y circulaciones)
Mejoramiento integral de los patios descubiertos del edificio. instalación eléctrica de baja tensión y de muy baja tensión.
",NA,105856827,En Obra,en obra,f11,23/8/2022,20/1/2023,210,NA,85%,30/11/2023,NA,mejora edilicia
x004,teodoro garcia 3899,0200684,"Instalacion electrica completa, instalacion contra incendios",NA,160149498,En Obra,en obra,f11,26/12/2022,01/07/2023,270,NA,8%,30/5/2024,ex-2022-46105604- -gcaba-dginfe,mejora edilicia
x005,avda. congreso 3045,0200510,Instalacion electrica completa,-,70547510,En Obra,en obra,f11,24/4/2023,22/8/2023,150,x,3%,19/1/2024,ex-2023-15757503- -gcaba-dginfe,mejora edilicia
x006,humboldt 742,0200458,Instalacion electrica completa,NA,90075851,Licitación,licitación,f11,12/6/2023,10/10/2023,150,NA,NA,8/3/2024,NA,mejora edilicia
x007,avda. triunvirato 4247,0200715,Reparacion de cubierta (fondos covid) - actualizar alcance,-,NA,Planificado,a iniciar proyecto,f11,28/11/2024,28/3/2025,270,NA,NA,23/12/2025,NA,mejora edilicia
x008,chacabuco 922,0200138,Refacción sanitarios y restauración de cubierta,NA,18086962,En Obra,en obra,f11,07/02/2023,15/07/2023,180,NA,8%,11/01/2024,ex-2023-06352830- -gcaba-dginfe,mejora edilicia
x010,santo tome  4529,0200818,Nuevo sanitario para adultos y adecuación del sanitario de inicial. motorización de cubierta parabólica corrediza.,-,250000000,Planificado,proximo a iniciar proyecto,f11,12/3/2024,10/07/2024,210,NA,NA,05/02/2025,NA,mejora edilicia
x014,lacarra 535,0200644,"Área administrativa: sanitario del sector a nuevo. se colocara cielorrasos suspendidos en todo el área. se realizará una nueva inst. eléctrica. se pintara completamente todo el sector.
En el edificio donde funciona el taller de electrónica, en planta baja: 
Puesta en valor de los sanitarios de docentes, office, sanitarios de alumnos y taller de electrónica.
En la planta alta de este mismo edificio, puesta en valor del aula de computación y el pasillo a fin de dar respuesta a la salida de emergencia. 
En el taller de hormigón armado que se encuentra en otro sector de la escuela sobre planta baja, se dará intervención al sanitario existente de docentes y al patio descubierto.
Puesta en valor del sum y biblioteca.
Intervencion de cubiertas (membranas, asbesto, cambio de tejas y chapas,etc..)
Cambio de tanques e instalación eléctrica.",-,296246046,En Obra,a iniciar,f11,25/04/2023,20/10/2023,360,NA,NA,14/10/2024,ex-2023-14216567- -gcaba-dginfe,mejora edilicia
x015,pio collivadino 436,0200643,"Adecuación de sanitarios e incorporación del sanitario para personas con movilidad reducida.
Restauración, conservación y tratamiento de prevención de las fachadas del edificio
Reparación / recomposición de los revoques en paramentos interiores afectados por humedad de cimientos, cielorrasos armados de yeso y solados.
Restauración de carpinterías y herrerías (puertas, ventanas, postigos, celosías y rejas de protección).
Pintura general de paramentos interiores y cielorrasos de todos los locales del establecimiento
Adecuación de instalación eléctrica a normativas vigentes, ejecución de instalación sanitaria nueva para los núcleos sanitarios, instalación pluvial.
Reinstalación de cañerías de gas exteriores en el interior del edificio.
",NA,NA,En Obra,en obra,f11,02/01/2023,01/08/2023,365,NA,2%,31/7/2024,ex-2022-47182283- -gcaba-dginfe,mejora edilicia
x016,beron de astrada 5920,0200953,"Adecuacion accesibilidad y electrica, incendio, pintura interior + ver cd patio",NA,55821979,En Proyecto,en proyecto,corporacion sur,25/7/2022,25/4/2023,180,NA,NA, - ,NA,mejora edilicia
x017,arce 611,0200447,Re ajuste aulas y ampliacion sala de 3. casa casero?,-,87399063,Licitación,licitación,f11,25/7/2022,22/11/2022,120,NA,NA, - ,NA,mejora edilicia
x018,avda. caseros 1555,0200251,Impermeabilización de techos,NA,27798016,En Obra,en obra,f11,28/02/2023,28/06/2023,150,NA,68%,25/12/2023,ex-2023-07701597-gcaba-dginfe,mejora edilicia
x019,moron 3745,0200601,"Acondicionamiento de cubierta, sanitarios, cocina  inst electrica gas, piso, cielorraso. arreglo de revoque patio. adecuacion pintura interior de areas significantes y",NA,127099297,En Obra,en obra,f11,02/12/2022,01/09/2023,270,NA,2%,28/5/2024,ex-2022-44042246- -gcaba-dginfe,mejora edilicia
x020,rondeau 2751 - bernasconi,0200312,Freno de deterioro en fachadas exteriores e interiores,NA,305717923,En Obra,en obra,f11,2/2/2023,15/09/2023,720,NA,0%,4/9/2025,ex-2023-05772890- -gcaba-dginfe,mejora edilicia
x021,juramento 4849,0200707,Impermeabilización e inst electrica completa,-,107941827,Licitación,licitación,f11,12/7/2022,14/10/2023,150,NA,NA,12/3/2024,ex-2022-24687233- -gcaba-dginfe,mejora edilicia
x022,avda. santa fe 1510,0200003,"Patios, freno de deterioro en las fachadas.",NA,NA,En Obra,en obra,f11,01/12/2022,04/07/2023,240,NA,15%,29/2/2024,ex-2022-44084898- -gcaba-dginfe,mejora edilicia
x023,san juan 1545,0200137,"Se realizará la reparación de revoques, filtraciones y trabajos de pintura. instalación eléctrica completa.",$61.000.000,NA,En Proyecto,cyp,f11,14/11/2023,13/03/2024,300,x,NA,7/1/2025,NA,mejora edilicia
x024,24 de noviembre 1536,0200300,"Accesibilidad, ascensor, instalacion electrica completa",NA,68344565,En Obra,neutralizada,f14 p37,NA,8/7/2022,240,NA,90%,neutralizada,neutralizada,mejora edilicia
x025,paraguay 1950,0200029,Impermeabilizacion,NA,77506254,En Obra,neutralizada,f14 p37,13-08-2021,22/7/2023,240,NA,94%,neutralizada,ex-2021-25255148- -gcaba-dginfe,mejora edilicia
x025,paraguay 1950,0200029,Impermeabilizacion,NA,NA,Fracasado,fracasada r,f14 p37,-,-,-,NA,-%, - ,NA,mejora edilicia
x025,paraguay 1950,0200029,Impermeabilizacion,NA,NA,Fracasado,fracasada r,f14 p37,-,-,-,NA,-%,neutralizada,NA,mejora edilicia
x026,libertad 581,0200007,"Freno de deterioro (escuela patrimoniada): restauración de las fachadas interiores (patios). reparación de los revoques en paramentos interiores (circulaciones) afectados por humedad
De cimientos. reparación de cielorrasos dañados por humedad.  restauracion de zócalos perimetral de marmol, solados, escaleras principales, carpinterias y herrerias. reacondicionamiento de aulas de jardín de infante. colocacion de una rampa para dar accesibilidad. adecuación de la instalación eléctrica de baja tensión y muy baja tensión, en planta baja y en
Primer piso",NA,67044161,Finalizado,finalizado,f11,NA,27/5/2022,270,NA,100%,31/5/2023,NA,mejora edilicia
x027,estados unidos 1228 (5to),01228eu,Obra de finalizacion 5to piso dginfe,NA,19520019,Finalizado,neutralizada,f11,NA,12/5/2022,60,30,100%,10/8/2022,NA,mejora edilicia
x028,avda. jose maria moreno 345,0200425,"Accesibilidad, ascensor. (amparo)",NA,17821000,Finalizado,finalizado,f11,NA,15/9/2021,210,60,100%,12/6/2022,NA,mejora edilicia
x029,tandil 6690,0200902,"Accesibilidad, ascensor.",NA,12226784,Finalizado,finalizado,f11,NA,19/1/2022,180,183,100%,17/1/2023,NA,mejora edilicia
x030,avda. alvarez jonte 5075,0200829,Instalacion electrica completa,NA,26157164,Finalizado,finalizado,f14 p37,NA,19/8/2022,120,45,100%,31/1/2023,ex-2021-25348201- -gcaba-dginfe,mejora edilicia
x031,lavalle 1681,0200025,"Mejora edilicia, instalacion electrica completa",NA,81733907,Finalizado,finalizado,f11,NA,3/6/2022,300,30,96%,30/9/2023,ex-2021-17325624- -gcaba-dginfe,mejora edilicia
x032,avda. entre rios 757,0200139,"Instalacion electrica completa, impermeabilizacion, mejoras varias en el edificio",NA,89300252,En Obra,para rescindir,f11,NA,22/12/2021,210,210,61%,para rescindir,para rescindir,mejora edilicia
x033,avda. salvador maria del carril 3650,0200788,"Restauración y puesta en valor de fachadas externas e internas (patio) -
Restauración de revoques en general, cielorrasos, solados, cambio de cubierta
De tejas coloniales, reacondicionamiento de locales en 1º piso, instalaciones eléctricas , sanitarias y termomecánicas",NA,86810548,En Obra,neutralizada,f11,4/8/2021,22/2/2022,270,83,90%,neutralizada,neutralizada,mejora edilicia
x034,arcamendia 743,0200259,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada",NA,94738009,En Obra,neutralizada,f11,NA,23/11/2021,365,75,80%,neutralizada,neutralizada,mejora edilicia
x035,avda. paseo colon 650,0200195,Instalacion electrica completa sector talleres,NA,58814916,En Obra,para rescindir,f11,NA,27/12/2021,180,180,66%,para rescindir,NA,mejora edilicia
x036,libertador 8635,0200528,Sanitarios. (fondos covid),NA,6834478,Finalizado,finalizado,f14 (covid),18/8/2022,18/8/2022,120,30,100%,15/1/2023,ex-2021-19374551- -gcaba-dginfe,mejora edilicia
x037,jujuy 255,0200322,Sanitarios. (fondos inet),NA,13441665,Finalizado,finalizado,f14,17/10/2022,29/3/2023,120,NA,77%,30/9/2023,NA,mejora edilicia
x038,gral. enrique martinez 1432,0200670,Plan obras covid comedor,NA,4411382,Finalizado,finalizado,f14 (covid),NA,12/7/2022,60,NA,100%,10/9/2022,NA,mejora edilicia
x039,mexico 1627,0200146,Sanitarios. (fondos covid),NA,7922833,Finalizado,finalizado,f14,NA,18/8/2022,150,NA,100%,1/3/2023,NA,mejora edilicia
x040,navarro 4344,0200790,"Sanitarios, electricidad, accesibilidad y preceptoria",NA,56429389,Finalizado,finalizado,f11,NA,27/5/2022,180,90,76%,30/09/2023,neutralizada,mejora edilicia
x041,oliden 2855,0200629,"Etapa 2022-23 adecuación instalación eléctrica e incendio, accesibilidad básica con pintura en áreas significativas",NA,166054565,En Obra,en obra,f11,27/4/2022,1/12/2022,360,NA,32%,30/1/2024,ex-2022-05076819- -gcaba-dginfe,mejora edilicia
x042,ramsay 2250,0200519,"Etapa 2022-23 adecuación de cubierta, instalación eléctrica",NA,86686411,En Obra,en obra,f11,11/5/2022,1/12/2022,180,NA,34%,31/10/2023,ex-2022-17068235- -gcaba-dginfe,mejora edilicia
x043,avda. gral. iriarte 3880,0200261,Traslado de aulas modulares + adecuación y tendido elect,NA,34094710,En Obra,para rescindir,f11,18/11/2021,23/8/2022,240,NA,48%, - ,ex-2021-34813932- -gcaba-dginfe,mejora edilicia
x044,juncal 3251 / adicional proyecto aula,0200028,"Nuevo ascensor exterior - aumento caudal, reserva sanitaria",NA,15232617,Finalizado,finalizado,f11,22/10/2021,26/6/2022,180,120,100%,neutralizada,neutralizada,mejora edilicia
