n_proyecto,cui,direccion,intervenciones,estado,subestado,eje,nota_de_inicio,pase_dgar,inicio_obra,fin_obra,avance_de_obra_real
x005,0200510,AVDA. CONGRESO 3045,Instalacion electrica completa,Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x006,0200458,HUMBOLDT 742,Instalacion electrica completa,Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x017,0200447,ARCE 611,Re ajuste aulas y ampliacion sala de 3. Casa casero?,Planificado,relicitar proyecto,Mejora Edilicia,19/10/2021,25/7/2022,22/11/2022,22/3/2023,NA
x021,0200707,JURAMENTO 4849,Impermeabilización e inst electrica completa,Planificado,relicitar proyecto,Mejora Edilicia,9/9/2022,12/7/2022,2/1/2023,1/6/2023,NA
x023,0200137,SAN JUAN 1545 - FRENADA,NA,Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x001,0200865,MOM 2358,"Instalacion electrica completa, aa en patio central",Finalizado,finalizado,Mejora Edilicia,NA,7/7/2022,21/10/2022,28/2/2023,100%
x002,0200659,GIRARDOT 1946,Instalacion electrica completa,En Obra,en obra,Mejora Edilicia,-,7/7/2022,17/11/2022,16/4/2023,31%
x003,0200010,LAVALLE 2386 / 2366,"Impermeabilización en el patio descubierto y el local sanitario de 1° piso y el reemplazo de los desagües
Cloacales en el sector; el mejoramiento sanitarios de alumnos/as presentes; ejecución de rampas que salven diversos desniveles existentes en la planta baja;  pintura y revoques en diversos locales interiores (espacios áulicos y circulaciones)
Mejoramiento integral de los patios descubiertos del edificio. Instalación eléctrica de baja tensión y de muy baja tensión.",En Obra,en obra,Mejora Edilicia,-,23/8/2022,20/1/2023,18/8/2023,0%
x004,0200684,TEODORO GARCIA 3871 FRACASO,"Instalacion electrica completa, instalacion contra incendios",Licitación,licitación,Mejora Edilicia,-,26/12/2022,25/04/2023,20/1/2024,NA
x007,0200715,Avda. Triunvirato 4247,Reparacion de cubierta (fondos covid),Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x008,0200138,CHACABUCO 922 / FRACASADA,Refacción sanitarios y restauración de cubierta,Licitación,licitación,Mejora Edilicia,25/11/2022,07/02/2023,07/06/2023,4/12/2023,NA
x009,0200740,FERNANDEZ DE ENCISO 4451,NA,Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x010,0200818,SANTO TOME  4529,NA,Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x011,0200946,CAFAYATE 5115,Sanitarios. (Fondos covid),Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x012,0200957,CAFAYATE 5388,Cambio de carpintenrias (fondos covid),Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x013,0200589,Caracas 2057,NA,Planificado,relicitar proyecto,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x015,0200643,PIO COLLIVADINO 436 / FRACASADA,"Adecuación de sanitarios e incorporación del sanitario para personas con movilidad reducida.
Restauración, conservación y tratamiento de prevención de las fachadas del edificio
Reparación / recomposición de los revoques en paramentos interiores afectados por humedad de cimientos, cielorrasos armados de yeso y solados.
Restauración de carpinterías y herrerías (puertas, ventanas, postigos, celosías y rejas de protección).
Pintura general de paramentos interiores y cielorrasos de todos los locales del establecimiento
Adecuación de instalación eléctrica a normativas vigentes, ejecución de instalación sanitaria nueva para los núcleos sanitarios, instalación pluvial.
Reinstalación de cañerías de gas exteriores en el interior del edificio.",Licitación,licitación,Mejora Edilicia,-,02/01/2023,02/05/2023,1/5/2024,NA
x016,0200953,BERON DE ASTRADA 5920,"Adecuacion accesibilidad y electrica, incendio, pintura interior + ver cd patio",En Proyecto,corporacion sur,Mejora Edilicia,NA,NA,NA,30/12/1899,NA
x018,0200251,AVDA. CASEROS 1555 FRACASO,Impermeabilización de techos,Licitación,licitación,Mejora Edilicia,-,24/02/2023,24/06/2023,21/11/2023,NA
x019,0200601,MORON 3745 / FRACASADA,NA,Licitación,licitación,Mejora Edilicia,17/11/2022,02/12/2022,01/04/2023,1/4/2023,NA
x020,0200312,RONDEAU 2751 - BERNASCONI,Freno de deterioro en fachadas exteriores e interiores,Licitación,licitación,Mejora Edilicia,-,2/2/2023,2/6/2023,22/5/2025,NA
x022,0200003,AVDA. SANTA FE 1510 / FRACASADA,"Patios, freno de deterioro en las fachadas.",Licitación,licitación,Mejora Edilicia,18/11/2022,01/12/2022,31/03/2023,26/11/2023,NA
x023,0200137,SAN JUAN 1545,"Impermeabilizacion de todas las terrazas y cubiertas. tratamiento de patologias estructurales, hierros expuestos. Tratamiento de humedad de cimientos. Optimizacion en instalaciones pluvial.",Finalizado,finalizado,Mejora Edilicia,07/03/2022,19/04/2022,07/07/2022,4/12/2022,100%
x024,0200300,24 DE NOVIEMBRE 1536,"Accesibilidad, ascensor, instalacion electrica completa",En Obra,en obra,Mejora Edilicia,NA,NA,8/7/2022,1/5/2023,57%
x025,0200029,PARAGUAY 1950,Impermeabilizacion,En Obra,en obra,Mejora Edilicia,NA,NA,1/5/2023,1/5/2023,56%
x026,0200007,LIBERTAD 581,"Freno de deterioro (escuela patrimoniada): restauración de las fachadas interiores (patios). Reparación de los revoques en paramentos interiores (circulaciones) afectados por humedad
De cimientos. Reparación de cielorrasos dañados por humedad.  Restauracion de zócalos perimetral de marmol, solados, escaleras principales, carpinterias y herrerias. Reacondicionamiento de aulas de jardín de infante. Colocacion de una rampa para dar accesibilidad. Adecuación de la instalación eléctrica de baja tensión y muy baja tensión, en planta baja y en
Primer piso",En Obra,en obra,Mejora Edilicia,-,NA,27/5/2022,1/5/2023,90%
x027,01228EU,ESTADOS UNIDOS 1228 (5to),Obra de finalizacion 5to piso dginfe,Finalizado,neutralizada,Mejora Edilicia,-,NA,12/5/2022,10/8/2022,100%
x028,0200425,AVDA. JOSE MARIA MORENO 345,"Accesibilidad, ascensor. (amparo)",Finalizado,finalizado,Mejora Edilicia,-,NA,15/9/2021,12/6/2022,100%
x029,0200902,TANDIL 6690,"Accesibilidad, ascensor.",Finalizado,finalizado,Mejora Edilicia,-,NA,19/1/2022,17/1/2023,100%
x030,0200829,AVDA. ALVAREZ JONTE 5075,Instalacion electrica completa,Finalizado,finalizado,Mejora Edilicia,NA,NA,19/8/2022,31/1/2023,100%
x031,0200025,LAVALLE 1681,"Mejora edilicia, instalacion electrica completa",En Obra,en obra,Mejora Edilicia,NA,NA,3/6/2022,1/6/2023,78%
x032,0200139,AVDA. ENTRE RIOS 757,"Instalacion electrica completa, impermeabilizacion, mejoras varias en el edificio",En Obra,en obra,Mejora Edilicia,-,NA,22/12/2021,28/2/2023,61%
x033,0200788,AVDA. SALVADOR MARIA DEL CARRIL 3650,"Restauración y puesta en valor de
Fachadas externas e internas (patio) -
Restauración de revoques en general,
Cielorrasos, solados, cambio de cubierta
De tejas coloniales, reacondicionamiento
De locales en 1º piso, instalaciones
Eléctricas , sanitarias y termomecánicas",En Obra,en obra,Mejora Edilicia,-,4/8/2021,22/2/2022,1/3/2023,96%
x034,0200259,ARCAMENDIA 743,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada",En Obra,en obra,Mejora Edilicia,-,NA,23/11/2021,1/3/2023,78%
x035,0200195,AVDA. PASEO COLON 650,Instalacion electrica completa sector talleres,En Obra,en obra,Mejora Edilicia,-,NA,27/12/2021,22/12/2022,66%
x036,0200528,AV DEL LIBERTADOR 8635,Sanitarios. (Fondos covid),Finalizado,finalizado,Mejora Edilicia,NA,NA,18/8/2022,15/1/2023,100%
x037,0200322,JUJUY 255,Sanitarios. (Fondos inet),Licitación,licitación,Mejora Edilicia,-,17/10/2022,14/2/2023,14/6/2023,NA
x038,0200670,Gral. Enrique Martinez 1432,Plan obras covid comedor,Finalizado,finalizado,Mejora Edilicia,NA,NA,12/7/2022,10/9/2022,100%
x039,0200146,MEXICO 1627,Sanitarios. (Fondos covid),Finalizado,finalizado,Mejora Edilicia,NA,NA,18/8/2022,1/3/2023,100%
x040,0200790,NAVARRO 4344,"Sanitarios, electricidad, accesibilidad y preceptoria",En Obra,en obra,Mejora Edilicia,NA,NA,27/5/2022,1/5/2023,69%
x041,0200629,OLIDEN 2855,"Etapa 2022-23 adecuación instalación eléctrica e incendio, accesibilidad básica con pintura en áreas significativas",En Obra,en obra,Mejora Edilicia,15/4/2021,27/4/2022,1/12/2022,1/1/2024,2%
x042,0200519,RAMSAY 2250,"Etapa 2022-23 adecuación de cubierta, instalación eléctrica",En Obra,en obra,Mejora Edilicia,1/6/2021,11/5/2022,1/12/2022,30/5/2023,2%
x043,0200261,AVDA. GRAL. IRIARTE 3880,Traslado de aulas modulares + adecuación y tendido elect,En Obra,en obra,Mejora Edilicia,31/7/2021,18/11/2021,23/8/2022,19/6/2023,36%
x044,0200028,JUNCAL 3251 / adicional proyecto aula,"Nuevo ascensor exterior - aumento caudal, reserva sanitaria",En Obra,en obra,Mejora Edilicia,2/8/2021,22/10/2021,26/6/2022,22/4/2023,63%
x045,0200916,YRUPE 6835,Ampliación de nucleos sanitarios / ampliacion del comedor / instalacion electrica del jardin,Licitación,licitación,Mejora Edilicia,15/03/2022,16/1/2023,16/5/2023,12/12/2023,NA
x046,0200320,AVDA. JUJUY 780,Cambio de chapas y pintura,En Obra,en obra,Mejora Edilicia,NA,13/7/2022,20/01/2023,20/4/2023,52%
x047,0200002,AVDA. PTE. MANUEL QUINTANA 31,Acondicionamiento de fachadas/ adecuacion de supervision de1,En Obra,en obra,Mejora Edilicia,7/9/2021,7/3/2022,1/12/2022,31/10/2023,0%
x048,0200755,VALLEJOS 2555 CAF,"Etapa i2020 adecuacion espacios aulicos y ampliacion comedor pintura, accesibilidad",Licitación,f14 - caf - rescindio,Mejora Edilicia,20/9/2021,17/10/2022,14/2/2023,14/2/2023,NA
x049,0200085,JOSE ANTONIO CABRERA 3430,Reparaciones varias. Mejoras en núcleos sanitarios. Ejecución cuña desmontable. Tratamiento de humedad de cimientos. Trabajos sanitarios. Instalación eléctrica,En Obra,en obra,Mejora Edilicia,1/10/2021,9/12/2021,8/7/2022,1/5/2023,87%
x050,0200445,AVDA. SANTA FE 5039,Instalación eléctrica,En Obra,en obra,Mejora Edilicia,1/10/2021,26/11/2021,8/10/2022,6/4/2023,55%
x051,0200798,AVDA. FRANCISCO BEIRO 4418,"Cielorrasos, instalación iluminacion (taller de cerámica), puesta en valor y refuncionalizacion de la ex vivienda del casero y depositos en pb, carpinterías, instal elect, pintura",En Obra,en obra,Mejora Edilicia,4/10/2021,24/11/2021,26/8/2022,23/4/2023,45%
x052,0200906,AVDA. LARRAZABAL 420,"Reparación en cubiertas, impermeabilización.",En Obra,en obra,Mejora Edilicia,7/1/2022,16/6/2022,1/12/2022,30/4/2023,24%
x053,0202188,POLO SAAVEDRA,"Terminación vestuarios, pileta, sanitarios, estacionamiento, parquizado",En Obra,en obra,Mejora Edilicia,15/10/2021,5/9/2022,20/1/2023,16/12/2023,2%
x054,0200708,ECHEVERRIA 5034,"Demoliciones varias, reparaciones y provisión de nuevas carpinterías (herreria), accesibilidad basica, sanitario adaptado, patio, pintura gral.",En Obra,en obra,Mejora Edilicia,18/10/2021,19/3/2022,23/9/2022,22/3/2023,45%
