ano,orden,descripcion_obra,domicilio_edificio,cui,prestaciones,nivel_de_aprobacion
2018,13463205,readec inst elec su,BAIGORRIA 3169,0200768,Electricidad,DDGG DGMESC
2018,13491102,read circuitos tablertos insta elec gabi,RICARDO GUTIERREZ 3246,0200793,Electricidad,GER GOIM
2018,13498551,Correccion factor de potencia,FORMOSA 136,0200426,Otros Servicios,INSP/SUP
2018,13498552,Correccion factor de potencia,AVDA. RIVADAVIA 4817,0200377,Otros Servicios,INSP/SUP
2018,13498563,Correccion de factor de potencia,YERBAL 25,0200396,Otros Servicios,INSP/SUP
2018,13498568,Correccion de factor de potencia,AVDA. DIAZ VELEZ 4659,0200379,Otros Servicios,INSP/SUP
2018,13498578,correcion de factor dse potencia,AVDA. ANGEL GALLARDO 246,0200088,Otros Servicios,INSP/SUP
2018,13502532,Correcion de factor de potencia,FELIPE VALLESE 835,0200364,Otros Servicios,INSP/SUP
2018,13502535,Correcion de factor de potencia,CNEL. APOLINARIO FIGUEROA 1077,0200359,Otros Servicios,INSP/SUP
2018,13502536,Correcion de factor de potencia,AVDA. GAONA 1502,0200382,Otros Servicios,INSP/SUP
2018,13502538,Correcion de factor de potencia,AVDA. RIVADAVIA 5161,0200380,Otros Servicios,INSP/SUP
2018,13502539,Correcion de factor de potencia,AVDA. PEDRO GOYENA 984,0200410,Otros Servicios,INSP/SUP
2018,13502541,Correcion de fac tor de potencia,LUIS VIALE 1046,0200369,Otros Servicios,INSP/SUP
2018,13506616,Readec. inst de gas planta alta calderas,CHIVILCOY 1820,0200833,Gas,GER GOIM
2018,13508066,Correccion de factor de potencia,AV GAONA 4763,0200813,Electricidad,INSP/SUP
2018,13508067,Correccion de factor de potencia,MORON 3745,0200601,Electricidad,INSP/SUP
2018,13508069,Correccion de factor de potencia,ALEJANDRO MAGARIÑOS CERVANTES 2865,0200598,Electricidad,INSP/SUP
2018,13508072,Correccion de factor de potencia,BAIGORRIA 3169,0200768,Electricidad,INSP/SUP
2018,13509047,Refuncionalizacion ascensor mec por hidr,AVDA. DON PEDRO DE MENDOZA 1835,0200178,Medios de elevación,GER GOIM
2018,13509065,Aulas del futuro,POLA Y JOSE BARROS PAZOS 5250,0202178,Otros Servicios,INSP/SUP
2018,13515200,Aulas del futuro (cant. 4),AVDA. JUJUY 255,0200322,Otros Servicios,GER GOIM
2018,13519461,reacon planta reguladora DE GAS,AVDA. TRIUNVIRATO 4857,0200704,Gas,GER GOIM
2018,13521570,reparacion lockers,PADILLA 1051,0200385,Otros Servicios,INSP/SUP
2018,13521672,2 aulas futuro aula dgtedu,CONSTITUCION 4154,0200313,Albañileria / Pintura,INSP/SUP
2018,13521675,Prueba hermeticidad cañeria instalacion,BULNES 45,0200106,Otros Servicios,INSP/SUP
2018,13522547,adec sist bombeo toma bomberos para ince,AVDA. CHORROARIN 305,0200687,Incendio,GER GOIM
2018,13522552,Pintura aulas y patio cubierto,AVDA. DE LOS CONSTITUYENTES 3100,0200674,Albañileria / Pintura,GER GOIM
2018,13533132,Inst. 2 AA tipo ventana aula 1er piso,RIO CUARTO 1249,0200184,Calefaccion y Refrigeracion,INSP/SUP
2018,13534902,Extension y cambio conductos ventilacion,JOSE AARON SALMUN FEIJOO 1073,0200190,Gas,INSP/SUP
2018,13534912,Instalacion Aire acondicionado,AVDA. VARELA 2751,0200868,Calefaccion y Refrigeracion,INSP/SUP
2018,13535013,Adecuacion instalacion de gas,REPÚBLICA BOLIVARIANA DE VENEZUELA 771,0200125,Gas,GER GOIM
2018,13535117,Pintura patio,ECHEANDIA 5650,0200639,Albañileria / Pintura,INSP/SUP
2018,13535984,prov coloc piso antigolpe ptio cerco pro,CERETTI 2035,0200752,Albañileria / Pintura,INSP/SUP
2018,13536047,insta de montasillas en sum,LACARRA 1135,0200628,Medios de elevación,INSP/SUP
2018,13536097,reejec muro ext porton columnas hormigon,GOLETA SANTA CRUZ 6999,0200918,Albañileria / Pintura,INSP/SUP
2018,13536773,modificacion entrada de agua,JOSE JUAN BIEDMA 459,0200374,Sanitarias,INSP/SUP
2018,13536774,pintura administracion,AVDA. RIVADAVIA 5161,0200380,Albañileria / Pintura,INSP/SUP
2018,13536775,aulas nes,AVDA. RIVADAVIA 5161,0200380,Otros Servicios,INSP/SUP
2018,13536776,rejas y  lucarnas,CNEL. APOLINARIO FIGUEROA 1077,0200359,Otros Servicios,INSP/SUP
2018,13536777,techo de comedor,AVDA. VARELA 1040,0200554,Albañileria / Pintura,INSP/SUP
2018,13536779,mesadas cocina,AVELINO DIAZ 2356,0200568,Otros Servicios,INSP/SUP
