cui,ano,prestaciones,descripcion_obra
0200001,2021,Albañileria / Pintura,Cambio de solados vinilicos
0200001,2021,Sanitarias,sanitarios de comedor niños y adultos
0200001,2022,Gas,Cambio de termotanque casa casera
0200001,2022,Sanitarias,"Bajada de caño pluvial, Cambio de tapa en tanque de bombeo"
0200001,2023,Albañileria / Pintura,Adecuacion de gas
0200001,2023,Calefaccion y Refrigeracion,Cambio de aprox 10 equipos y calderas.
0200001,2023,Carpinterías,Colocacion de red antipalomas pb y films
0200001,2023,Electricidad,"Reparacion de Sistema de Vigilancia, Colocacion de ventiladores"
0200001,2023,Sanitarias,Cambio de 2 inodoros
0200002,2021,Albañileria / Pintura,"Recambio de solados en patio Jardín, Apertura de la puerta de Quintana, Apuntalamiento"
0200002,2021,Electricidad,Reemplazo de Ventiladores de Pared
0200002,2021,Sanitarias,"Limpieza y desinfección tanque cisterna, Recambio de tapa de inspección"
0200002,2022,Albañileria / Pintura,Recambio de tramo de conducto pluvial
0200002,2022,Electricidad,Remplazo de ventiladores
0200002,2022,Gas,Instalaciones de gas
0200002,2022,Sanitarias,Reposición de Bidet vandalizado
0200002,2023,Electricidad,"Instalacion  Espacios Seguros, Reemplazar 2 ventiladores en jardín"
0200003,2021,Electricidad,Prov y coloc 7 ventiladores
0200003,2022,Gas,Adecuación de la Instalación de Gas
0200003,2022,Sanitarias,Cambio de griferia en baño discapacitado
0200004,2021,Electricidad,Inst equipo purificador en aula
0200004,2023,Albañileria / Pintura,Reemplazo de solado en gimnasio
0200005,2021,Sanitarias,Cambio de dos inodoros
0200006,2022,Sanitarias,Adecuaciones sector patio-cocina
0200006,2023,Electricidad,Cambio de ventiladores
0200007,2021,Albañileria / Pintura,"Provision y colocacion parrilla movil, Colocar placas en carpinterías 1erPiso"
0200007,2022,Electricidad,"Colocar ventiladores en aulas, Reemplazo de Termotanques"
0200007,2022,Sanitarias,Prov. Coloc. 1 Inodoro vandalizado
0200008,2021,Albañileria / Pintura,Arreglo columnas en comedor y techo
